CENSUS REGION,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Midwest      ,NERVOUS    ,60-64,M  ,      1841
Midwest      ,ORGANIC    , <12 ,F  ,       981
Midwest      ,ORGANIC    , <12 ,M  ,      1770
Midwest      ,ORGANIC    ,13-17,F  ,       470
Midwest      ,ORGANIC    ,13-17,M  ,      1064
Midwest      ,ORGANIC    ,18-21,F  ,      1366
Midwest      ,ORGANIC    ,18-21,M  ,      2592
Midwest      ,ORGANIC    ,22-25,F  ,      1422
Midwest      ,ORGANIC    ,22-25,M  ,      2479
Midwest      ,ORGANIC    ,26-29,F  ,      1200
Midwest      ,ORGANIC    ,26-29,M  ,      1928
Midwest      ,ORGANIC    ,30-39,F  ,      2196
Midwest      ,ORGANIC    ,30-39,M  ,      3458
Midwest      ,ORGANIC    ,40-49,F  ,      3451
Midwest      ,ORGANIC    ,40-49,M  ,      4579
Midwest      ,ORGANIC    ,50-59,F  ,      4518
Midwest      ,ORGANIC    ,50-59,M  ,      5964
Midwest      ,ORGANIC    ,60-64,F  ,      1613
Midwest      ,ORGANIC    ,60-64,M  ,      1742
Midwest      ,OTHER      , <12 ,F  ,      8801
Midwest      ,OTHER      , <12 ,M  ,     10056
Midwest      ,OTHER      ,13-17,F  ,       834
Midwest      ,OTHER      ,13-17,M  ,      1235
Midwest      ,OTHER      ,18-21,F  ,       281
Midwest      ,OTHER      ,18-21,M  ,       474
Midwest      ,OTHER      ,22-25,F  ,       161
Midwest      ,OTHER      ,22-25,M  ,       220
Midwest      ,OTHER      ,26-29,F  ,       138
Midwest      ,OTHER      ,26-29,M  ,       194
Midwest      ,OTHER      ,30-39,F  ,       158
Midwest      ,OTHER      ,30-39,M  ,       139
Midwest      ,OTHER      ,40-49,F  ,       151
Midwest      ,OTHER      ,40-49,M  ,       123
Midwest      ,OTHER      ,50-59,F  ,       172
Midwest      ,OTHER      ,50-59,M  ,       133
Midwest      ,OTHER      ,60-64,F  ,        46
Midwest      ,OTHER      ,60-64,M  ,        36
Midwest      ,RESPIR     , <12 ,F  ,      1692
Midwest      ,RESPIR     , <12 ,M  ,      2950
Midwest      ,RESPIR     ,13-17,F  ,       422
Midwest      ,RESPIR     ,13-17,M  ,       683
Midwest      ,RESPIR     ,18-21,F  ,       212
Midwest      ,RESPIR     ,18-21,M  ,       249
Midwest      ,RESPIR     ,22-25,F  ,       158
Midwest      ,RESPIR     ,22-25,M  ,       124
Midwest      ,RESPIR     ,26-29,F  ,       167
Midwest      ,RESPIR     ,26-29,M  ,        90
Midwest      ,RESPIR     ,30-39,F  ,       710
Midwest      ,RESPIR     ,30-39,M  ,       329
Midwest      ,RESPIR     ,40-49,F  ,      2454
Midwest      ,RESPIR     ,40-49,M  ,       993
Midwest      ,RESPIR     ,50-59,F  ,      5899
Midwest      ,RESPIR     ,50-59,M  ,      3501
Midwest      ,RESPIR     ,60-64,F  ,      2586
Midwest      ,RESPIR     ,60-64,M  ,      1578
Midwest      ,SCHIZO     , <12 ,F  ,        66
Midwest      ,SCHIZO     , <12 ,M  ,       120
Midwest      ,SCHIZO     ,13-17,F  ,       209
Midwest      ,SCHIZO     ,13-17,M  ,       349
Midwest      ,SCHIZO     ,18-21,F  ,       674
Midwest      ,SCHIZO     ,18-21,M  ,      1637
Midwest      ,SCHIZO     ,22-25,F  ,      1158
Midwest      ,SCHIZO     ,22-25,M  ,      3135
Midwest      ,SCHIZO     ,26-29,F  ,      1506
Midwest      ,SCHIZO     ,26-29,M  ,      4113
Midwest      ,SCHIZO     ,30-39,F  ,      4454
Midwest      ,SCHIZO     ,30-39,M  ,      9708
Midwest      ,SCHIZO     ,40-49,F  ,      8976
Midwest      ,SCHIZO     ,40-49,M  ,     12888
Midwest      ,SCHIZO     ,50-59,F  ,     11863
Midwest      ,SCHIZO     ,50-59,M  ,     14337
Midwest      ,SCHIZO     ,60-64,F  ,      3841
Midwest      ,SCHIZO     ,60-64,M  ,      2733
Midwest      ,SKIN       , <12 ,F  ,       123
Midwest      ,SKIN       , <12 ,M  ,       181
Midwest      ,SKIN       ,13-17,F  ,        29
Midwest      ,SKIN       ,13-17,M  ,        34
Midwest      ,SKIN       ,18-21,F  ,        41
Midwest      ,SKIN       ,18-21,M  ,        30
Midwest      ,SKIN       ,22-25,F  ,        27
Midwest      ,SKIN       ,22-25,M  ,        36
Midwest      ,SKIN       ,26-29,F  ,        47
Midwest      ,SKIN       ,26-29,M  ,        33
Midwest      ,SKIN       ,30-39,F  ,       159
Midwest      ,SKIN       ,30-39,M  ,        83
Midwest      ,SKIN       ,40-49,F  ,       226
Midwest      ,SKIN       ,40-49,M  ,       161
Midwest      ,SKIN       ,50-59,F  ,       264
Midwest      ,SKIN       ,50-59,M  ,       186
Midwest      ,SKIN       ,60-64,F  ,       112
Midwest      ,SKIN       ,60-64,M  ,        53
Midwest      ,UNKNOWN    , <12 ,F  ,      1025
Midwest      ,UNKNOWN    , <12 ,M  ,      1507
Midwest      ,UNKNOWN    ,13-17,F  ,       475
Midwest      ,UNKNOWN    ,13-17,M  ,       798
Midwest      ,UNKNOWN    ,18-21,F  ,       303
Midwest      ,UNKNOWN    ,18-21,M  ,       456
Midwest      ,UNKNOWN    ,22-25,F  ,       204
Midwest      ,UNKNOWN    ,22-25,M  ,       228
Midwest      ,UNKNOWN    ,26-29,F  ,       318
Midwest      ,UNKNOWN    ,26-29,M  ,       325
Midwest      ,UNKNOWN    ,30-39,F  ,      1473
Midwest      ,UNKNOWN    ,30-39,M  ,      1320
Midwest      ,UNKNOWN    ,40-49,F  ,      3182
Midwest      ,UNKNOWN    ,40-49,M  ,      2276
Midwest      ,UNKNOWN    ,50-59,F  ,      6170
Midwest      ,UNKNOWN    ,50-59,M  ,      5189
Midwest      ,UNKNOWN    ,60-64,F  ,      4089
Midwest      ,UNKNOWN    ,60-64,M  ,      2806
Northeast    ,AUTISTIC   , <12 ,F  ,      3509
Northeast    ,AUTISTIC   , <12 ,M  ,     14214
Northeast    ,AUTISTIC   ,13-17,F  ,       843
Northeast    ,AUTISTIC   ,13-17,M  ,      3827
Northeast    ,AUTISTIC   ,18-21,F  ,      1132
Northeast    ,AUTISTIC   ,18-21,M  ,      5050
Northeast    ,AUTISTIC   ,22-25,F  ,       772
Northeast    ,AUTISTIC   ,22-25,M  ,      3031
Northeast    ,AUTISTIC   ,26-29,F  ,       339
Northeast    ,AUTISTIC   ,26-29,M  ,      1314
Northeast    ,AUTISTIC   ,30-39,F  ,       206
Northeast    ,AUTISTIC   ,30-39,M  ,       712
Northeast    ,AUTISTIC   ,40-49,F  ,        67
Northeast    ,AUTISTIC   ,40-49,M  ,       247
Northeast    ,AUTISTIC   ,50-59,F  ,        46
Northeast    ,AUTISTIC   ,50-59,M  ,        88
Northeast    ,AUTISTIC   ,60-64,F  ,        15
Northeast    ,AUTISTIC   ,60-64,M  ,        20
Northeast    ,BLOOD      , <12 ,F  ,       639
Northeast    ,BLOOD      , <12 ,M  ,       820
Northeast    ,BLOOD      ,13-17,F  ,       315
Northeast    ,BLOOD      ,13-17,M  ,       363
Northeast    ,BLOOD      ,18-21,F  ,       269
Northeast    ,BLOOD      ,18-21,M  ,       337
Northeast    ,BLOOD      ,22-25,F  ,       264
Northeast    ,BLOOD      ,22-25,M  ,       259
Northeast    ,BLOOD      ,26-29,F  ,       183
Northeast    ,BLOOD      ,26-29,M  ,       177
Northeast    ,BLOOD      ,30-39,F  ,       353
Northeast    ,BLOOD      ,30-39,M  ,       287
Northeast    ,BLOOD      ,40-49,F  ,       362
Northeast    ,BLOOD      ,40-49,M  ,       187
Northeast    ,BLOOD      ,50-59,F  ,       347
Northeast    ,BLOOD      ,50-59,M  ,       164
Northeast    ,BLOOD      ,60-64,F  ,       126
Northeast    ,BLOOD      ,60-64,M  ,        47
Northeast    ,CHILDHOOD  , <12 ,F  ,      5979
Northeast    ,CHILDHOOD  , <12 ,M  ,     20837
Northeast    ,CHILDHOOD  ,13-17,F  ,      5121
Northeast    ,CHILDHOOD  ,13-17,M  ,     18133
Northeast    ,CHILDHOOD  ,18-21,F  ,      1559
Northeast    ,CHILDHOOD  ,18-21,M  ,      5033
Northeast    ,CHILDHOOD  ,22-25,F  ,       399
Northeast    ,CHILDHOOD  ,22-25,M  ,      1163
Northeast    ,CHILDHOOD  ,26-29,F  ,       216
Northeast    ,CHILDHOOD  ,26-29,M  ,       651
Northeast    ,CHILDHOOD  ,30-39,F  ,       158
Northeast    ,CHILDHOOD  ,30-39,M  ,       371
Northeast    ,CHILDHOOD  ,40-49,F  ,       107
Northeast    ,CHILDHOOD  ,40-49,M  ,       123
Northeast    ,CHILDHOOD  ,50-59,F  ,        60
Northeast    ,CHILDHOOD  ,50-59,M  ,        64
Northeast    ,CHILDHOOD  ,60-64,F  ,        13
Northeast    ,CHILDHOOD  ,60-64,M  ,         8
Northeast    ,CIRCUL     , <12 ,F  ,       286
Northeast    ,CIRCUL     , <12 ,M  ,       300
Northeast    ,CIRCUL     ,13-17,F  ,        88
Northeast    ,CIRCUL     ,13-17,M  ,       107
Northeast    ,CIRCUL     ,18-21,F  ,       133
Northeast    ,CIRCUL     ,18-21,M  ,       160
Northeast    ,CIRCUL     ,22-25,F  ,       148
Northeast    ,CIRCUL     ,22-25,M  ,       147
Northeast    ,CIRCUL     ,26-29,F  ,       194
Northeast    ,CIRCUL     ,26-29,M  ,       191
Northeast    ,CIRCUL     ,30-39,F  ,       751
Northeast    ,CIRCUL     ,30-39,M  ,       704
Northeast    ,CIRCUL     ,40-49,F  ,      2576
Northeast    ,CIRCUL     ,40-49,M  ,      2402
Northeast    ,CIRCUL     ,50-59,F  ,      7754
Northeast    ,CIRCUL     ,50-59,M  ,      8274
